distortion_level,blur_rate,misclass_rate,board_index,moves_made,illegal_moves,minimax_ai_wins,deterministic_ai_wins,game_length,avg_move_time
0.00_0.10,0.0,0.1,12,20,0,1,0,20,0.19036924839019775
0.00_0.10,0.0,0.1,13,1,0,0,1,1,0
0.00_0.10,0.0,0.1,14,1,0,0,1,1,0
0.00_0.10,0.0,0.1,15,9,0,0,1,9,0.1406329870223999
0.00_0.10,0.0,0.1,16,1,0,0,1,1,0
0.00_0.10,0.0,0.1,17,26,0,1,0,26,0.07945500887357272
0.00_0.10,0.0,0.1,18,1,0,0,1,1,0
0.00_0.10,0.0,0.1,19,25,0,0,1,25,0.15709594885508218
0.00_0.10,0.0,0.1,20,1,0,0,1,1,0
0.00_0.10,0.0,0.1,21,1,0,0,1,1,0
0.00_0.10,0.0,0.1,22,1,0,0,1,1,0
0.00_0.10,0.0,0.1,23,21,0,0,1,21,0.05346271991729736
0.00_0.10,0.0,0.1,24,14,0,1,0,14,0.10580761092049736
0.00_0.10,0.0,0.1,25,1,0,0,1,1,0
0.00_0.10,0.0,0.1,26,1,0,0,1,1,0
0.00_0.10,0.0,0.1,27,7,2,0,1,7,0.07239961624145508
0.00_0.10,0.0,0.1,28,1,0,0,1,1,0
0.00_0.10,0.0,0.1,29,1,0,0,1,1,0
0.10_0.10,0.1,0.1,0,41,0,0,1,41,0.12020199298858643
0.10_0.10,0.1,0.1,1,13,0,0,1,13,0.11584659417470296
0.10_0.10,0.1,0.1,2,26,7,0,1,26,0.11164359748363495
0.10_0.10,0.1,0.1,3,25,0,0,1,25,0.1390793522198995
0.10_0.10,0.1,0.1,4,3,0,0,1,3,0.09458160400390625
0.10_0.10,0.1,0.1,5,35,0,0,1,35,0.17761079002829158
0.10_0.10,0.1,0.1,6,1,0,0,1,1,0
0.10_0.10,0.1,0.1,7,1,0,0,1,1,0
0.10_0.10,0.1,0.1,8,1,0,0,1,1,0
0.10_0.10,0.1,0.1,9,13,0,0,1,13,0.12240691979726155
0.10_0.10,0.1,0.1,10,1,0,0,1,1,0
0.10_0.10,0.1,0.1,11,3,2,0,1,3,0.0
0.10_0.10,0.1,0.1,12,13,0,0,1,13,0.24335130055745444
0.10_0.10,0.1,0.1,13,1,0,0,1,1,0
0.10_0.10,0.1,0.1,14,1,0,0,1,1,0
0.10_0.10,0.1,0.1,15,7,0,0,1,7,0.20602218310038248
0.10_0.10,0.1,0.1,16,1,0,0,1,1,0
0.10_0.10,0.1,0.1,17,6,1,0,1,6,0.07918246587117513
0.10_0.10,0.1,0.1,18,1,0,0,1,1,0
0.10_0.10,0.1,0.1,19,17,0,0,1,17,0.18035149574279785
0.10_0.10,0.1,0.1,20,1,0,0,1,1,0
0.10_0.10,0.1,0.1,21,1,0,0,1,1,0
0.10_0.10,0.1,0.1,22,1,0,0,1,1,0
0.10_0.10,0.1,0.1,23,5,0,0,1,5,0.06649088859558105
0.10_0.10,0.1,0.1,24,12,0,1,0,12,0.14536988735198975
0.10_0.10,0.1,0.1,25,1,0,0,1,1,0
0.10_0.10,0.1,0.1,26,1,0,0,1,1,0
0.10_0.10,0.1,0.1,27,7,2,0,1,7,0.06836885213851929
0.10_0.10,0.1,0.1,28,1,0,0,1,1,0
0.10_0.10,0.1,0.1,29,1,0,0,1,1,0
0.15_0.05,0.15,0.05,0,41,0,0,1,41,0.12134448289871216
0.15_0.05,0.15,0.05,1,16,0,1,0,16,0.19094407558441162
0.15_0.05,0.15,0.05,2,3,0,0,1,3,0.23966717720031738
0.15_0.05,0.15,0.05,3,9,2,0,1,9,0.08855295181274414
0.15_0.05,0.15,0.05,4,3,0,0,1,3,0.09510350227355957
0.15_0.05,0.15,0.05,5,25,2,0,1,25,0.21734846555269682
0.15_0.05,0.15,0.05,6,1,0,0,1,1,0
0.15_0.05,0.15,0.05,7,1,0,0,1,1,0
0.15_0.05,0.15,0.05,8,1,0,0,1,1,0
0.15_0.05,0.15,0.05,9,7,0,0,1,7,0.18924967447916666
0.15_0.05,0.15,0.05,10,1,0,0,1,1,0
0.15_0.05,0.15,0.05,11,10,1,0,1,10,0.1368049144744873
0.15_0.05,0.15,0.05,12,22,0,1,0,22,0.18098610097711737
0.15_0.05,0.15,0.05,13,1,0,0,1,1,0
0.15_0.05,0.15,0.05,14,1,0,0,1,1,0
0.15_0.05,0.15,0.05,15,9,0,0,1,9,0.17326247692108154
0.15_0.05,0.15,0.05,16,1,0,0,1,1,0
0.15_0.05,0.15,0.05,17,11,2,0,1,11,0.11082037289937337
0.15_0.05,0.15,0.05,18,1,0,0,1,1,0
0.15_0.05,0.15,0.05,19,6,1,0,1,6,0.25354401270548504
0.15_0.05,0.15,0.05,20,1,0,0,1,1,0
0.15_0.05,0.15,0.05,21,1,0,0,1,1,0
0.15_0.05,0.15,0.05,22,1,0,0,1,1,0
0.15_0.05,0.15,0.05,23,5,0,0,1,5,0.08632028102874756
0.15_0.05,0.15,0.05,24,14,0,1,0,14,0.13600948878696986
0.15_0.05,0.15,0.05,25,1,0,0,1,1,0
0.15_0.05,0.15,0.05,26,1,0,0,1,1,0
0.15_0.05,0.15,0.05,27,17,0,0,1,17,0.16283085942268372
0.15_0.05,0.15,0.05,28,1,0,0,1,1,0
0.15_0.05,0.15,0.05,29,1,0,0,1,1,0
0.05_0.15,0.05,0.15,0,41,0,0,1,41,0.13842653036117553
0.05_0.15,0.05,0.15,1,13,0,0,1,13,0.11886362234751384
0.05_0.15,0.05,0.15,2,24,0,1,0,24,0.2745857238769531
0.05_0.15,0.05,0.15,3,8,3,0,1,8,0.07327685356140137
0.05_0.15,0.05,0.15,4,3,0,0,1,3,0.1122748851776123
0.05_0.15,0.05,0.15,5,35,0,0,1,35,0.184539514429429
0.05_0.15,0.05,0.15,6,1,0,0,1,1,0
0.05_0.15,0.05,0.15,7,1,0,0,1,1,0
0.05_0.15,0.05,0.15,8,1,0,0,1,1,0
0.05_0.15,0.05,0.15,9,5,0,0,1,5,0.08774089813232422
0.05_0.15,0.05,0.15,10,1,0,0,1,1,0
0.05_0.15,0.05,0.15,11,7,0,0,1,7,0.1040031909942627
0.05_0.15,0.05,0.15,12,11,0,0,1,11,0.21558809280395508
0.05_0.15,0.05,0.15,13,1,0,0,1,1,0
0.05_0.15,0.05,0.15,14,1,0,0,1,1,0
0.05_0.15,0.05,0.15,15,19,2,0,1,19,0.21202898025512695
0.05_0.15,0.05,0.15,16,1,0,0,1,1,0
0.05_0.15,0.05,0.15,17,9,0,0,1,9,0.13007575273513794
0.05_0.15,0.05,0.15,18,1,0,0,1,1,0
0.05_0.15,0.05,0.15,19,9,0,0,1,9,0.24242007732391357
0.05_0.15,0.05,0.15,20,1,0,0,1,1,0
0.05_0.15,0.05,0.15,21,1,0,0,1,1,0
0.05_0.15,0.05,0.15,22,1,0,0,1,1,0
0.05_0.15,0.05,0.15,23,6,0,1,0,6,0.17827685674031576
0.05_0.15,0.05,0.15,24,10,0,1,0,10,0.19945836067199707
0.05_0.15,0.05,0.15,25,1,0,0,1,1,0
0.05_0.15,0.05,0.15,26,1,0,0,1,1,0
