trial_number,accuracy_percent,distortion_level,blur_rate,misclass_rate,board_index,starting_player,moves_made,illegal_moves,minimax_ai_wins,deterministic_ai_wins,game_length,avg_move_time,optimal_moves,total_minimax_moves,move_optimality_percent
3,96.0,96%_accuracy,0.02,0.02,20,Deterministic,32,1,0,1,32,0.1408599317073822,8,16,50.0
3,96.0,96%_accuracy,0.02,0.02,21,Minimax,39,3,0,1,39,0.07660367375328428,8,21,38.095238095238095
3,96.0,96%_accuracy,0.02,0.02,22,Deterministic,38,1,0,1,38,0.08174468341626619,9,19,47.368421052631575
3,96.0,96%_accuracy,0.02,0.02,23,Minimax,30,2,0,1,30,0.18352310359477997,6,16,37.5
3,96.0,96%_accuracy,0.02,0.02,24,Deterministic,34,0,1,0,34,0.0942230785594267,10,17,58.82352941176471
3,96.0,96%_accuracy,0.02,0.02,25,Minimax,27,1,0,1,27,0.14269423484802246,8,14,57.14285714285714
3,96.0,96%_accuracy,0.02,0.02,26,Deterministic,40,2,0,0,40,0.11321661585853213,8,21,38.095238095238095
3,96.0,96%_accuracy,0.02,0.02,27,Minimax,36,1,1,0,36,0.15546198895103053,11,19,57.89473684210527
3,96.0,96%_accuracy,0.02,0.02,28,Deterministic,28,0,1,0,28,0.10626075948987689,9,14,64.28571428571429
3,96.0,96%_accuracy,0.02,0.02,29,Minimax,31,3,0,1,31,0.13387250900268555,8,17,47.05882352941176
4,94.0,94%_accuracy,0.03,0.03,0,Deterministic,40,2,0,0,40,0.08854291552589053,11,21,52.38095238095239
4,94.0,94%_accuracy,0.03,0.03,1,Minimax,26,0,0,1,26,0.18437359883235052,8,13,61.53846153846154
4,94.0,94%_accuracy,0.03,0.03,2,Deterministic,33,0,0,1,33,0.14405541121959686,5,16,31.25
4,94.0,94%_accuracy,0.03,0.03,3,Minimax,38,3,1,0,38,0.14044612929934547,10,21,47.61904761904761
4,94.0,94%_accuracy,0.03,0.03,4,Deterministic,40,2,0,0,40,0.10428759029933385,5,21,23.809523809523807
4,94.0,94%_accuracy,0.03,0.03,5,Minimax,31,1,0,1,31,0.1815812736749649,6,16,37.5
4,94.0,94%_accuracy,0.03,0.03,6,Deterministic,26,1,0,1,26,0.14638064457820013,4,13,30.76923076923077
4,94.0,94%_accuracy,0.03,0.03,7,Minimax,32,2,0,1,32,0.14731596497928395,8,17,47.05882352941176
4,94.0,94%_accuracy,0.03,0.03,8,Deterministic,39,3,0,0,39,0.09453671319144112,7,21,33.33333333333333
4,94.0,94%_accuracy,0.03,0.03,9,Minimax,29,3,0,1,29,0.13857533037662506,7,16,43.75
4,94.0,94%_accuracy,0.03,0.03,10,Deterministic,37,4,0,1,37,0.0794335126876831,6,20,30.0
4,94.0,94%_accuracy,0.03,0.03,11,Minimax,20,0,0,1,20,0.17341160774230957,4,10,40.0
4,94.0,94%_accuracy,0.03,0.03,12,Deterministic,33,2,0,1,33,0.08004250245935776,7,17,41.17647058823529
4,94.0,94%_accuracy,0.03,0.03,13,Minimax,36,6,0,0,36,0.11885014034452893,7,21,33.33333333333333
4,94.0,94%_accuracy,0.03,0.03,14,Deterministic,37,2,0,1,37,0.09474015235900879,9,19,47.368421052631575
4,94.0,94%_accuracy,0.03,0.03,15,Minimax,34,2,0,1,34,0.13757818275027806,9,18,50.0
4,94.0,94%_accuracy,0.03,0.03,16,Deterministic,22,0,1,0,22,0.16642826253717596,5,11,45.45454545454545
4,94.0,94%_accuracy,0.03,0.03,17,Minimax,22,0,0,1,22,0.24965728412974963,5,11,45.45454545454545
4,94.0,94%_accuracy,0.03,0.03,18,Deterministic,40,2,0,0,40,0.09966525577363514,10,21,47.61904761904761
4,94.0,94%_accuracy,0.03,0.03,19,Minimax,33,2,1,0,33,0.1151184770796034,8,18,44.44444444444444
4,94.0,94%_accuracy,0.03,0.03,20,Deterministic,31,0,0,1,31,0.1683079401652018,4,15,26.666666666666668
4,94.0,94%_accuracy,0.03,0.03,21,Minimax,36,2,0,1,36,0.13878217496370016,9,19,47.368421052631575
4,94.0,94%_accuracy,0.03,0.03,22,Deterministic,15,0,0,1,15,0.2940284524645124,1,7,14.285714285714285
4,94.0,94%_accuracy,0.03,0.03,23,Minimax,28,3,1,0,28,0.22853104770183563,7,16,43.75
