trial_number,accuracy_percent,distortion_level,blur_rate,misclass_rate,board_index,starting_player,moves_made,illegal_moves,minimax_ai_wins,deterministic_ai_wins,game_length,avg_move_time,optimal_moves,total_minimax_moves,move_optimality_percent
3,80.0,80%_accuracy,0.1,0.1,23,Minimax,9,0,1,0,9,2.1705641746520996,0,5,0.0
3,80.0,80%_accuracy,0.1,0.1,24,Deterministic,6,0,1,0,6,0.19006172815958658,1,3,33.33333333333333
3,80.0,80%_accuracy,0.1,0.1,25,Minimax,5,3,0,1,5,3.9163703322410583,0,4,0.0
3,80.0,80%_accuracy,0.1,0.1,26,Deterministic,17,1,1,0,17,11.661688513225979,4,9,44.44444444444444
3,80.0,80%_accuracy,0.1,0.1,27,Minimax,11,0,1,0,11,9.147586504618326,4,6,66.66666666666666
3,80.0,80%_accuracy,0.1,0.1,28,Deterministic,3,0,0,1,3,10.192943096160889,0,1,0.0
3,80.0,80%_accuracy,0.1,0.1,29,Minimax,22,0,0,1,22,3.7721814892508765,1,11,9.090909090909092
4,70.0,70%_accuracy,0.15,0.15,0,Deterministic,18,0,1,0,18,9.958724896113077,5,9,55.55555555555556
4,70.0,70%_accuracy,0.15,0.15,1,Minimax,3,0,1,0,3,66.32923579216003,2,2,100.0
4,70.0,70%_accuracy,0.15,0.15,2,Deterministic,14,0,1,0,14,5.837961435317993,2,7,28.57142857142857
4,70.0,70%_accuracy,0.15,0.15,3,Minimax,15,0,1,0,15,8.798548072576523,0,8,0.0
4,70.0,70%_accuracy,0.15,0.15,4,Deterministic,10,0,1,0,10,26.778240585327147,1,5,20.0
4,70.0,70%_accuracy,0.15,0.15,5,Minimax,19,0,1,0,19,11.13353772163391,2,10,20.0
4,70.0,70%_accuracy,0.15,0.15,6,Deterministic,4,3,0,1,4,0.0,0,3,0.0
4,70.0,70%_accuracy,0.15,0.15,7,Minimax,3,3,0,1,3,0.0,0,3,0.0
4,70.0,70%_accuracy,0.15,0.15,8,Deterministic,10,0,1,0,10,6.077053451538086,3,5,60.0
4,70.0,70%_accuracy,0.15,0.15,9,Minimax,13,1,0,1,13,3.041163580758231,0,7,0.0
4,70.0,70%_accuracy,0.15,0.15,10,Deterministic,6,0,1,0,6,1.4771130879720051,1,3,33.33333333333333
4,70.0,70%_accuracy,0.15,0.15,11,Minimax,1,1,0,1,1,0.0,0,1,0.0
4,70.0,70%_accuracy,0.15,0.15,12,Deterministic,5,0,0,1,5,15.622523784637451,1,2,50.0
4,70.0,70%_accuracy,0.15,0.15,13,Minimax,1,0,1,0,1,1.9869966506958008,1,1,100.0
4,70.0,70%_accuracy,0.15,0.15,14,Deterministic,3,2,0,1,3,0.0,0,2,0.0
4,70.0,70%_accuracy,0.15,0.15,15,Minimax,6,4,0,1,6,6.501562547683716,0,5,0.0
4,70.0,70%_accuracy,0.15,0.15,16,Deterministic,10,0,1,0,10,2.267509937286377,4,5,80.0
4,70.0,70%_accuracy,0.15,0.15,17,Minimax,1,1,0,1,1,0.0,0,1,0.0
4,70.0,70%_accuracy,0.15,0.15,18,Deterministic,17,2,0,1,17,2.7389092445373535,4,9,44.44444444444444
4,70.0,70%_accuracy,0.15,0.15,19,Minimax,2,0,0,1,2,0.30019497871398926,0,1,0.0
4,70.0,70%_accuracy,0.15,0.15,20,Deterministic,1,0,0,1,1,0,0,0,0
4,70.0,70%_accuracy,0.15,0.15,21,Minimax,2,0,0,1,2,3.599832057952881,0,1,0.0
4,70.0,70%_accuracy,0.15,0.15,22,Deterministic,4,3,0,1,4,0.0,0,3,0.0
4,70.0,70%_accuracy,0.15,0.15,23,Minimax,9,0,1,0,9,0.44876785278320314,0,5,0.0
4,70.0,70%_accuracy,0.15,0.15,24,Deterministic,13,6,0,1,13,3.8611208862728543,2,9,22.22222222222222
4,70.0,70%_accuracy,0.15,0.15,25,Minimax,5,0,1,0,5,6.237966934839885,1,3,33.33333333333333
4,70.0,70%_accuracy,0.15,0.15,26,Deterministic,5,4,0,1,5,0.0002499818801879883,0,4,0.0
4,70.0,70%_accuracy,0.15,0.15,27,Minimax,8,0,0,1,8,6.00589382648468,0,4,0.0
4,70.0,70%_accuracy,0.15,0.15,28,Deterministic,2,1,0,1,2,0.0,0,1,0.0
4,70.0,70%_accuracy,0.15,0.15,29,Minimax,19,0,1,0,19,2.0450217008590696,2,10,20.0
5,50.0,50%_accuracy,0.25,0.25,0,Deterministic,18,0,1,0,18,8.924327029122246,5,9,55.55555555555556
5,50.0,50%_accuracy,0.25,0.25,1,Minimax,28,0,0,1,28,3.8403389113289967,2,14,14.285714285714285
5,50.0,50%_accuracy,0.25,0.25,2,Deterministic,22,0,1,0,22,7.730213186957619,3,11,27.27272727272727
5,50.0,50%_accuracy,0.25,0.25,3,Minimax,5,0,1,0,5,4.825528621673584,2,3,66.66666666666666
5,50.0,50%_accuracy,0.25,0.25,4,Deterministic,12,0,1,0,12,10.245625972747803,2,6,33.33333333333333
5,50.0,50%_accuracy,0.25,0.25,5,Minimax,19,0,1,0,19,7.578301954269409,3,10,30.0
5,50.0,50%_accuracy,0.25,0.25,6,Deterministic,4,0,1,0,4,2.183142304420471,1,2,50.0
5,50.0,50%_accuracy,0.25,0.25,7,Minimax,1,0,1,0,1,0.08160591125488281,1,1,100.0
5,50.0,50%_accuracy,0.25,0.25,8,Deterministic,9,4,0,1,9,1.0041186809539795,0,6,0.0
